SensorID,Temperature,Pressure,Vibration,Humidity,FlowRate,PowerConsumption,RuntimeHours,LastServiceDate,FaultFlag
1,46.8359101,35.27163474,6.482569541,83.9504608,65.77632583,249.8351219,1291.381337,01-01-2023,1
2,95.81071604,40.85066287,1.723863621,56.77523373,8.923224407,373.3733863,804.8369885,01-01-2023,1
3,77.21948505,16.27105545,8.723945634,70.74371903,24.99065133,281.3333903,943.8182198,01-01-2023,0
4,65.88597116,33.11933448,6.131162391,50.52338086,77.5942553,41.65129156,1433.449565,01-01-2023,1
5,28.26158444,30.72856924,1.572038836,64.10242043,53.33989951,92.79011839,1752.612059,01-01-2023,1
6,28.25953423,42.47736696,9.623380575,43.84031562,92.86893712,109.664092,544.4376017,01-01-2023,1
7,19.93710703,45.77391772,5.183654633,41.08113138,43.44638943,128.9321268,684.1535919,01-01-2023,1
8,88.62497239,5.547054716,0.728984519,60.47608503,87.11142422,282.701696,1861.478793,01-01-2023,0
9,66.094776,35.33089636,6.268329044,54.86907719,45.44658831,251.9828899,1157.023585,01-01-2023,0
10,75.18616911,7.33261096,2.53198907,60.56754584,97.94557959,101.5800192,357.9236343,01-01-2023,0
11,16.74968202,29.69863993,8.036934519,40.06624069,96.02360376,,1327.390278,01-01-2023,1
12,97.44233743,17.94347281,8.178220736,45.68704823,33.58453385,85.71610224,1981.524311,01-01-2023,0
13,85.75762447,18.80494698,9.789473559,25.87285724,88.70644337,492.1906563,1646.907129,01-01-2023,0
14,33.04882441,20.88313266,5.01869531,23.65934606,84.91352605,234.2734749,1491.482273,01-01-2023,0
15,30.45512221,32.95816021,4.549568797,37.74199908,21.85735934,433.6727524,416.0933085,01-01-2023,1
16,30.58938334,20.03224846,7.534756054,25.19728015,62.80474968,424.3762333,1752.279569,01-01-2023,0
,40.86059065,37.97145728,1.324706563,27.2642296,,255.7597787,1051.577687,01-01-2023,1
18,59.60429669,23.20373235,5.469155138,76.90498838,83.83436134,353.3438542,1778.580044,01-01-2023,0
19,51.71532658,8.075894014,5.462476001,22.72115879,18.28004247,96.37600521,659.6556588,01-01-2023,0
20,39.75447692,40.26919291,0.894731228,66.12599558,8.010655437,344.1983525,124.1021053,01-01-2023,1
21,67.00749605,17.85912461,4.179840855,39.07904242,40.62169046,136.1922896,951.9519373,01-01-2023,0
22,26.85697816,24.47450958,8.532847986,81.00819765,58.11529172,416.0310484,539.6752096,01-01-2023,1
23,39.83229513,35.84497474,8.56153622,53.94945992,85.6367789,41.86206655,1430.45858,01-01-2023,1
24,46.14075668,19.96052707,0.992376649,41.39035215,97.45001003,386.5693364,1914.213106,,0
25,,7.546354527,0.907208827,56.2347255,,49.96845328,1381.948302,02-01-2023,1
26,81.73995672,21.82644712,2.62695477,46.73706133,6.984245376,440.5946184,,02-01-2023,1
27,31.97227148,47.50018622,8.747660626,59.50107453,75.16244232,152.1022591,906.0480272,02-01-2023,1
28,58.70992727,33.87804788,1.289025851,28.01730078,56.95215237,327.1966824,1543.281474,02-01-2023,1
29,65.35523835,35.21656169,7.199968026,89.7893352,45.34124314,243.7511393,1686.086873,02-01-2023,0
30,18.94828508,33.45269691,1.011656196,49.78891144,31.617619,183.1515726,1421.751255,02-01-2023,1
31,66.64131241,13.95464625,6.231378537,44.37614478,50.73745426,322.7209166,1015.554572,02-01-2023,1
32,29.49455051,23.82502388,3.560672991,69.71468938,34.52928084,473.7614903,1251.732219,02-01-2023,0
33,20.5293854,38.79229093,7.88913963,45.47295845,75.94417491,20.63487369,1401.013991,02-01-2023,0
34,95.65527067,9.56178039,2.336904488,78.32920135,54.84547595,459.4264279,506.1688064,02-01-2023,0
35,97.07872281,17.50337492,6.392018294,51.79895071,87.80792964,304.5408275,1619.158522,02-01-2023,1
36,83.71377459,17.43435988,2.356825346,70.36908893,54.81084755,403.6571504,1900.649078,02-01-2023,1
37,40.89217038,24.44085174,7.136602831,27.52172515,24.58797892,191.9374767,930.4786304,02-01-2023,1
38,23.30212969,49.11659334,8.736780346,79.22834299,85.25809634,235.9214874,1402.134366,02-01-2023,1
39,73.15980725,8.037614601,1.268017991,71.50025907,56.16468545,434.4253759,1474.051812,02-01-2023,0
40,52.41296197,28.34154475,8.665956886,34.82017449,21.47726278,207.4239849,1324.495095,02-01-2023,0
41,25.37324996,13.07141069,5.935752544,30.17002068,62.72727319,267.3297834,1094.230217,02-01-2023,1
42,57.09003736,48.68044454,1.271104909,42.14046441,36.41395973,10.09746154,1763.295909,02-01-2023,1
43,17.92302429,10.09865771,4.275418554,88.32494102,84.59615562,79.29900292,897.8534185,02-01-2023,1
44,,23.16204511,1.608602935,37.97821022,45.87667413,320.843254,122.205913,02-01-2023,1
45,36.99629844,38.20482432,7.003478889,51.92890463,72.91769445,358.4884505,1689.112751,02-01-2023,0
46,71.31439417,36.70494926,7.588681344,22.1014158,10.45808456,291.3004684,1347.962545,02-01-2023,0
47,41.49544147,24.02278866,1.057965203,47.80592707,40.20641028,71.65501814,1698.517253,02-01-2023,0
48,59.2057818,20.59358756,5.061398527,59.99240108,98.34090221,222.7027143,277.0948849,02-01-2023,0
49,61.47037374,22.89255703,8.14625056,86.71872288,81.03756866,177.5473832,61.50588102,03-01-2023,1
50,30.71262872,16.89243184,9.361630416,56.17152315,16.83413943,247.830672,1868.749081,03-01-2023,0
